konsiltan	k-on-s-i-l-t-an
enterimè	en-t-e-r-i-m-è
lamyab	l-a-m-y-a-b
fistibal	f-i-s-t-i-b-a-l
sòti	s-ò-t-i
ekspire	e-k-s-p-i-r-e
konprann	k-on-p-r-an-n
pliziè	p-l-i-z-i-è
sadik	s-a-d-i-k
reflèks	r-e-f-l-è-k-s
tilititi	t-i-l-i-t-i-t-i
kontaje	k-on-t-a-j-e
kè	k-è
gòldenbè	g-ò-l-d-en-b-è
ankouraje	an-k-ou-r-a-j-e
biza	b-i-z-a
vise	v-i-s-e
segman	s-e-g-m-an
metaforik	m-e-t-a-f-o-r-i-k
Natacha	N-a-t-a-ch-a
kichòy	k-i-ch-ò-y
pout	p-ou-t
marèl	m-a-r-è-l
abitrèman	a-b-i-t-r-è-m-an
anrasinen	an-r-a-s-i-n-en
gratè	g-r-a-t-è
ireparab	i-r-e-p-a-r-a-b
kondòm	k-on-d-ò-m
levyatan	l-e-v-y-a-t-an
aljeryen	a-l-j-e-r-y-en
adekwa	a-d-e-k-w-a
maskaj	m-a-s-k-a-j
velo	v-e-l-o
janvye	j-an-v-y-e
zepis	z-e-p-i-s
Kowasi	K-o-w-a-s-i
fonetik	f-o-n-e-t-i-k
lò	l-ò
Chali	Ch-a-l-i
Jewova	J-e-w-o-v-a
lòm	l-ò-m
bebelala	b-e-b-e-l-a-l-a
volan	v-o-l-an
estratejikman	e-s-t-r-a-t-e-j-i-k-m-an
diminisyon	d-i-m-i-n-i-s-y-on
fware	f-w-a-r-e
adekwat	a-d-e-k-w-a-t
konferansye	k-on-f-e-r-an-s-y-e
kaptaj	k-a-p-t-a-j
bouya	b-ou-y-a
demantibilay	d-e-m-an-t-i-b-i-l-a-y
kotèks	k-o-t-è-k-s
kerat	k-e-r-a-t
triyang	t-r-i-y-a-ng
rafine	r-a-f-i-n-e
manadjè	m-a-n-a-d-j-è
derapaj	d-e-r-a-p-a-j
biswit	b-i-s-w-i-t
pwovisyon	p-w-o-v-i-s-y-on
ideyalizasyon	i-d-e-y-a-l-i-z-a-s-y-on
pakou	p-a-k-ou
konsòl	k-on-s-ò-l
dyalektal	d-y-a-l-e-k-t-a-l
finansyè	f-i-n-an-s-y-è
ranson	r-an-s-on
sila	s-i-l-a
itilizab	i-t-i-l-i-z-a-b
obligatwaman	o-b-l-i-g-a-t-w-a-m-an
klin	k-l-i-n
kòman	k-ò-m-an
deboulonnen	d-e-b-ou-l-on-n-en
konseptyèl	k-on-s-e-p-t-y-è-l
ladènyè	l-a-d-è-n-y-è
krisyanite	k-r-i-s-y-a-n-i-t-e
viris	v-i-r-i-s
Notredam	N-o-t-r-e-d-a-m
piyaj	p-i-y-a-j
plaza	p-l-a-z-a
erente	e-r-en-t-e
ayisyanite	a-y-i-s-y-a-n-i-t-e
plezi	p-l-e-z-i
siyay	s-i-y-a-y
ji	j-i
Chal	Ch-a-l
idolatri	i-d-o-l-a-t-r-i
pwofetik	p-w-o-f-e-t-i-k
achitèk	a-ch-i-t-è-k
drib	d-r-i-b
goum	g-ou-m
ensinere	en-s-i-n-e-r-e
pokò	p-o-k-ò
obsèvatris	o-b-s-è-v-a-t-r-i-s
piwouli	p-i-w-ou-l-i
Vènè	V-è-n-è
sankatrevensetan	s-an-k-a-t-r-e-v-en-s-e-t-an
fouksi	f-ou-k-s-i
boukan	b-ou-k-an
genn	g-en-n
iripsyon	i-r-i-p-s-y-on
kolik	k-o-l-i-k
filo	f-i-l-o
joko	j-o-k-o
miwa	m-i-w-a
asteni	a-s-t-e-n-i
nichtwèl	n-i-ch-t-w-è-l
reklamasyon	r-e-k-l-a-m-a-s-y-on
atiray	a-t-i-r-a-y
negritid	n-e-g-r-i-t-i-d
panchan	p-an-ch-an
lakrentif	l-a-k-r-en-t-i-f
oligachi	o-l-i-g-a-ch-i
bann	b-an-n
yota	y-o-t-a
iwològ	i-w-o-l-ò-g
kapè	k-a-p-è
konpozisyon	k-on-p-o-z-i-s-y-on
Onan	O-n-an
katalòg	k-a-t-a-l-ò-g
Dezamou	D-e-z-a-m-ou
zakè	z-a-k-è
maldyòk	m-a-l-d-y-ò-k
lòd	l-ò-d
rivye	r-i-v-y-e
lansanswa	l-an-s-an-s-w-a
raple	r-a-p-l-e
trafik	t-r-a-f-i-k
kandjanwoun	k-an-d-j-an-w-oun
apwi	a-p-w-i
Jeremi	J-e-r-e-m-i
retounen	r-e-t-ou-n-en
atistik	a-t-i-s-t-i-k
agresiv	a-g-r-e-s-i-v
sikonsi	s-i-k-on-s-i
bòdmè	b-ò-d-m-è
reparasyon	r-e-p-a-r-a-s-y-on
sitwayènte	s-i-t-w-a-y-è-n-t-e
mikwoskòp	m-i-k-w-o-s-k-ò-p
prejidis	p-r-e-j-i-d-i-s
gagann	g-a-g-an-n
telegraf	t-e-l-e-g-r-a-f
koutmen	k-ou-t-m-en
karant	k-a-r-an-t
malveyan	m-a-l-v-e-y-an
inifye	i-n-i-f-y-e
antase	an-t-a-s-e
tapan	t-a-p-an
entèl	en-t-è-l
sispekte	s-i-s-p-e-k-t-e
gendwa	g-en-d-w-a
planèt	p-l-a-n-è-t
kitèks	k-i-t-è-k-s
anlve	an-l-v-e
djip	d-j-i-p
Kool	K-o-o-l
aplikan	a-p-l-i-k-an
okazyon	o-k-a-z-y-on
lodè	l-o-d-è
libera	l-i-b-e-r-a
rekonpanse	r-e-k-on-p-an-s-e
dezotwa	d-e-z-o-t-w-a
revoke	r-e-v-o-k-e
dyondyon	d-y-on-d-y-on
Amasa	A-m-a-s-a
konpleman	k-on-p-l-e-m-an
bizbòl	b-i-z-b-ò-l
parabòl	p-a-r-a-b-ò-l
vè	v-è
laglwa	l-a-g-l-w-a
pike	p-i-k-e
santyèm	s-an-t-y-è-m
yonn	y-on-n
kapil	k-a-p-i-l
depòtasyon	d-e-p-ò-t-a-s-y-on
letan	l-e-t-an
katrevenzan	k-a-t-r-e-v-en-z-an
Bosejou	B-o-s-e-j-ou
Simo	S-i-m-o
etann	e-t-an-n
similak	s-i-m-i-l-a-k
twòpòpòz	t-w-ò-p-ò-p-ò-z
òtopedik	ò-t-o-p-e-d-i-k
rejiman	r-e-j-i-m-an
Kenya	K-e-n-y-a
benevola	b-e-n-e-v-o-l-a
Maykwowev	M-a-y-k-w-o-w-e-v
mesaj	m-e-s-a-j
mizikal	m-i-z-i-k-a-l
erezman	e-r-e-z-m-an
sikonskripsyon	s-i-k-on-s-k-r-i-p-s-y-on
entèsede	en-t-è-s-e-d-e
mizik	m-i-z-i-k
digo	d-i-g-o
komfime	k-o-m-f-i-m-e
chini	ch-i-n-i
dechikte	d-e-ch-i-k-t-e
minòt	m-i-n-ò-t
Delatou	D-e-l-a-t-ou
òtodòks	ò-t-o-d-ò-k-s
avid	a-v-i-d
lotèl	l-o-t-è-l
fòmalite	f-ò-m-a-l-i-t-e
oksidantal	o-k-s-i-d-an-t-a-l
abiyman	a-b-i-y-m-an
Kamèl	K-a-m-è-l
avwann	a-v-w-an-n
twòkèt	t-w-ò-k-è-t
militon	m-i-l-i-t-on
entèwoje	en-t-è-w-o-j-e
Bòlòs	B-ò-l-ò-s
kouche	k-ou-ch-e
karakteristik	k-a-r-a-k-t-e-r-i-s-t-i-k
pwèt	p-w-è-t
ploge	p-l-o-g-e
sikyatrik	s-i-k-y-a-t-r-i-k
pwomilge	p-w-o-m-i-l-g-e
deziste	d-e-z-i-s-t-e
Janèt	J-a-n-è-t
konfòmite	k-on-f-ò-m-i-t-e
Albè	A-l-b-è
soule	s-ou-l-e
Mawotyè	M-a-w-o-t-y-è
ey	e-y
etadchoz	e-t-a-d-ch-o-z
remanbray	r-e-m-an-b-r-a-y
vèsman	v-è-s-m-an
lejyon	l-e-j-y-on
kòmantè	k-ò-m-an-t-è
kritik	k-r-i-t-i-k
fiyansay	f-i-y-an-s-a-y
vwazinaj	v-w-a-z-i-n-a-j
levye	l-e-v-y-e
Mayisad	M-a-y-i-s-a-d
Lagon	L-a-g-on
enstriman	en-s-t-r-i-m-an
trantèn	t-r-an-t-è-n
ajans	a-j-an-s
koupyon	k-ou-p-y-on
ondire	on-d-i-r-e
kokennchenn	k-o-k-en-n-ch-en-n
abako	a-b-a-k-o
dekouraje	d-e-k-ou-r-a-j-e
ledimanch	l-e-d-i-m-an-ch
odyogram	o-d-y-o-g-r-a-m
Estefanya	E-s-t-e-f-a-n-y-a
rekouche	r-e-k-ou-ch-e
pamenm	p-a-m-en-m
transparans	t-r-an-s-p-a-r-an-s
pwazon	p-w-a-z-on
ipotekè	i-p-o-t-e-k-è
sandwich	s-an-d-w-i-ch
manipilasyon	m-a-n-i-p-i-l-a-s-y-on
Kristèl	K-r-i-s-t-è-l
gastwoantewològ	g-a-s-t-w-o-an-t-e-w-o-l-ò-g
avantaje	a-v-an-t-a-j-e
redaksyon	r-e-d-a-k-s-y-on
pren	p-r-en
Belizè	B-e-l-i-z-è
sanventan	s-an-v-en-t-an
selon	s-e-l-on
Lakrètapyewo	L-a-k-r-è-t-a-p-y-e-w-o
Laboul	L-a-b-ou-l
ranp	r-an-p
rara	r-a-r-a
javlo	j-a-v-l-o
klou	k-l-ou
machanday	m-a-ch-an-d-a-y
dantle	d-an-t-l-e
entèdepandans	en-t-è-d-e-p-an-d-an-s
elektwokisyon	e-l-e-k-t-w-o-k-i-s-y-on
avèti	a-v-è-t-i
tikè	t-i-k-è
kousen	k-ou-s-en
alètman	a-l-è-t-m-an
vante	v-an-t-e
pakè	p-a-k-è
anpi	an-p-i
Delanoz	D-e-l-a-n-o-z
notifie	n-o-t-i-f-i-e
ouvri	ou-v-r-i
ipokritman	i-p-o-k-r-i-t-m-an
Zangle	Z-an-g-l-e
pèsonalite	p-è-s-o-n-a-l-i-t-e
Baselòn	B-a-s-e-l-ò-n
metel	m-e-t-e-l
santiman	s-an-t-i-m-an
senpatize	s-en-p-a-t-i-z-e
figawo	f-i-g-a-w-o
miwo	m-i-w-o
inite	i-n-i-t-e
detale	d-e-t-a-l-e
konfli	k-on-f-l-i
radyoaktif	r-a-d-y-o-a-k-t-i-f
katrevensizan	k-a-t-r-e-v-en-s-i-z-an
Malari	M-a-l-a-r-i
bosal	b-o-s-a-l
veyikil	v-e-y-i-k-i-l
adisyone	a-d-i-s-y-o-n-e
meridyen	m-e-r-i-d-y-en
rechaje	r-e-ch-a-j-e
pwòch	p-w-ò-ch
disparisyon	d-i-s-p-a-r-i-s-y-on
blèm	b-l-è-m
souteren	s-ou-t-e-r-en
sèvo	s-è-v-o
Jera	J-e-r-a
dilè	d-i-l-è
reve	r-e-v-e
optimalizasyon	o-p-t-i-m-a-l-i-z-a-s-y-on
lane	l-a-n-e
gouvènè	g-ou-v-è-n-è
revann	r-e-v-an-n
Benè	B-e-n-è
boul	b-ou-l
Jouden	J-ou-d-en
ankourajman	an-k-ou-r-a-j-m-an
Silisi	S-i-l-i-s-i
kondyuit	k-on-d-y-ui-t
wòl	w-ò-l
palmantè	p-a-l-m-an-t-è
lamou	l-a-m-ou
fich	f-i-ch
madougou	m-a-d-ou-g-ou
kazino	k-a-z-i-n-o
frijid	f-r-i-j-i-d
bòd	b-ò-d
difilkilte	d-i-f-i-l-k-i-l-t-e
abondan	a-b-on-d-an
altere	a-l-t-e-r-e
aliyen	a-l-i-y-en
batanklan	b-a-t-an-k-l-an
Albani	A-l-b-a-n-i
eseye	e-s-e-y-e
moustach	m-ou-s-t-a-ch
tribi	t-r-i-b-i
koka	k-o-k-a
òganizatè	ò-g-a-n-i-z-a-t-è
silvouplè	s-i-l-v-ou-p-l-è
elektoral	e-l-e-k-t-o-r-a-l
nouvèlman	n-ou-v-è-l-m-an
tata	t-a-t-a
sizè	s-i-z-è
antrepriz	an-t-r-e-p-r-i-z
pàntyè	p-à-n-t-y-è
eksperyans	e-k-s-p-e-r-y-an-s
règ	r-è-g
britanik	b-r-i-t-a-n-i-k
Dyelifèt	D-y-e-l-i-f-è-t
inikite	i-n-i-k-i-t-e
repanti	r-e-p-an-t-i
fenonmèn	f-e-n-on-m-è-n
jyenn	j-y-en-n
viwon	v-i-w-on
kazèk	k-a-z-è-k
Bwaye	B-w-a-y-e
veksasyon	v-e-k-s-a-s-y-on
mekontantman	m-e-k-on-t-an-t-m-an
telegram	t-e-l-e-g-r-a-m
Rabèl	R-a-b-è-l
Nangonmye	N-an-g-on-m-y-e
risk	r-i-s-k
adjektif	a-d-j-e-k-t-i-f
alizyon	a-l-i-z-y-on
inisyativ	i-n-i-s-y-a-t-i-v
Andwomak	An-d-w-o-m-a-k
jist	j-i-s-t
Tigana	T-i-g-a-n-a
kamoken	k-a-m-o-k-en
konyensidans	k-on-y-en-s-i-d-an-s
espirityèl	e-s-p-i-r-i-t-y-è-l
imilyasyon	i-m-i-l-y-a-s-y-on
fraz	f-r-a-z
oratè	o-r-a-t-è
vendikatif	v-en-d-i-k-a-t-i-f
nouriti	n-ou-r-i-t-i
ang	a-ng
dezabilite	d-e-z-a-b-i-l-i-t-e
galope	g-a-l-o-p-e
rekontaj	r-e-k-on-t-a-j
premis	p-r-e-m-i-s
twonpe	t-w-on-p-e
enstriktif	en-s-t-r-i-k-t-i-f
kominalite	k-o-m-i-n-a-l-i-t-e
develope	d-e-v-e-l-o-p-e
san	s-an
Akaz	A-k-a-z
akò	a-k-ò
senatoryal	s-e-n-a-t-o-r-y-a-l
grenpe	g-r-en-p-e
twèl	t-w-è-l
matla	m-a-t-l-a
katarak	k-a-t-a-r-a-k
kib	k-i-b
blofè	b-l-o-f-è
santi	s-an-t-i
rigè	r-i-g-è
kachkachliben	k-a-ch-k-a-ch-l-i-b-en
adye	a-d-y-e
lobo	l-o-b-o
blabla	b-l-a-b-l-a
kwazyè	k-w-a-z-y-è
makawon	m-a-k-a-w-on
gra	g-r-a
enpòtans	en-p-ò-t-an-s
perimèt	p-e-r-i-m-è-t
kitel	k-i-t-e-l
atifisyèl	a-t-i-f-i-s-y-è-l
jistifye	j-i-s-t-i-f-y-e
pikwa	p-i-k-w-a
degonfle	d-e-g-on-f-l-e
telechaje	t-e-l-e-ch-a-j-e
floral	f-l-o-r-a-l
Pòdpè	P-ò-d-p-è
abstrenn	a-b-s-t-r-en-n
pafime	p-a-f-i-m-e
lil	l-i-l
makiyaj	m-a-k-i-y-a-j
rekrite	r-e-k-r-i-t-e
antrèd	an-t-r-è-d
ekspresif	e-k-s-p-r-e-s-i-f
reveye	r-e-v-e-y-e
majorasyon	m-a-j-o-r-a-s-y-on
evakye	e-v-a-k-y-e
braye	b-r-a-y-e
lokalite	l-o-k-a-l-i-t-e
ladrès	l-a-d-r-è-s
ekleray	e-k-l-e-r-a-y
gonmbo	g-on-m-b-o
keyi	k-e-y-i
pafè	p-a-f-è
kilometraj	k-i-l-o-m-e-t-r-a-j
kantonnen	k-an-t-on-n-en
piti	p-i-t-i
awondi	a-w-on-d-i
chapo	ch-a-p-o
mori	m-o-r-i
makouchat	m-a-k-ou-ch-a-t
giyònman	g-i-y-ò-n-m-an
minim	m-i-n-i-m
lannuit	l-an-n-ui-t
antan	an-t-an
ekzekitan	e-k-z-e-k-i-t-an
envalidite	en-v-a-l-i-d-i-t-e
iwonik	i-w-o-n-i-k
kòripsyon	k-ò-r-i-p-s-y-on
floup	f-l-ou-p
biftèk	b-i-f-t-è-k
Kawòl	K-a-w-ò-l
entimidasyon	en-t-i-m-i-d-a-s-y-on
anprizone	an-p-r-i-z-o-n-e
tandike	t-an-d-i-k-e
enkoriptib	en-k-o-r-i-p-t-i-b
Kanje	K-an-j-e
revòlt	r-e-v-ò-l-t
asavwa	a-s-a-v-w-a
akseptab	a-k-s-e-p-t-a-b
eskandal	e-s-k-an-d-a-l
pisin	p-i-s-i-n
enrejistreman	en-r-e-j-i-s-t-r-e-m-an
fawouche	f-a-w-ou-ch-e
transferab	t-r-an-s-f-e-r-a-b
kanpèch	k-an-p-è-ch
komitatif	k-o-m-i-t-a-t-i-f
konplo	k-on-p-l-o
reprezante	r-e-p-r-e-z-an-t-e
atikilasyon	a-t-i-k-i-l-a-s-y-on
kindègatenn	k-i-n-d-è-g-a-t-en-n
bonnèt	b-on-n-è-t
menmman	m-en-m-m-an
mèsenè	m-è-s-e-n-è
malmakak	m-a-l-m-a-k-a-k
biblo	b-i-b-l-o
siveyan	s-i-v-e-y-an
lous	l-ou-s
katrevenkat	k-a-t-r-e-v-en-k-a-t
abominasyon	a-b-o-m-i-n-a-s-y-on
majò	m-a-j-ò
jenotip	j-e-n-o-t-i-p
dekouvri	d-e-k-ou-v-r-i
popilè	p-o-p-i-l-è
kontòsyone	k-on-t-ò-s-y-o-n-e
kesyonnen	k-e-s-y-on-n-en
depatman	d-e-p-a-t-m-an
kominal	k-o-m-i-n-a-l
Bouzi	B-ou-z-i
kabonifè	k-a-b-o-n-i-f-è
alfabetizasyon	a-l-f-a-b-e-t-i-z-a-s-y-on
asireman	a-s-i-r-e-m-an
inyorans	i-n-y-o-r-an-s
jipon	j-i-p-on
figye	f-i-g-y-e
limitasyon	l-i-m-i-t-a-s-y-on
pititpitit	p-i-t-i-t-p-i-t-i-t
akòde	a-k-ò-d-e
aljèb	a-l-j-è-b
dechè	d-e-ch-è
loreya	l-o-r-e-y-a
alye	a-l-y-e
cheran	ch-e-r-an
lonnè	l-on-n-è
sibòdone	s-i-b-ò-d-o-n-e
privilèj	p-r-i-v-i-l-è-j
abrite	a-b-r-i-t-e
kontè	k-on-t-è
desanven	d-e-s-an-v-en
konstipe	k-on-s-t-i-p-e
amò	a-m-ò
validite	v-a-l-i-d-i-t-e
anchennen	an-ch-en-n-en
louch	l-ou-ch
enjeniè	en-j-e-n-i-è
gagote	g-a-g-o-t-e
serenite	s-e-r-e-n-i-t-e
piblisite	p-i-b-l-i-s-i-t-e
meble	m-e-b-l-e
Youyou	Y-ou-y-ou
brasa	b-r-a-s-a
lèzòt	l-è-z-ò-t
optik	o-p-t-i-k
pèpetye	p-è-p-e-t-y-e
marenn	m-a-r-en-n
magazen	m-a-g-a-z-en
pate	p-a-t-e
delege	d-e-l-e-g-e
satouyèt	s-a-t-ou-y-è-t
rapò	r-a-p-ò
malfòmasyon	m-a-l-f-ò-m-a-s-y-on
lelit	l-e-l-i-t
biten	b-i-t-en
siman	s-i-m-an
kamwazi	k-a-m-w-a-z-i
ere	e-r-e
elektoralis	e-l-e-k-t-o-r-a-l-i-s
konstitiye	k-on-s-t-i-t-i-y-e
granden	g-r-an-d-en
woule	w-ou-l-e
aktivite	a-k-t-i-v-i-t-e
fènwa	f-è-n-w-a
bouje	b-ou-j-e
pandri	p-an-d-r-i
ayayay	a-y-a-y-a-y
pinga	p-i-n-g-a
lantè	l-an-t-è
vidyèl	v-i-d-y-è-l
adoptiv	a-d-o-p-t-i-v
twoup	t-w-ou-p
bofi	b-o-f-i
legalite	l-e-g-a-l-i-t-e
Loulou	L-ou-l-ou
anketè	an-k-e-t-è
chif	ch-i-f
endepandans	en-d-e-p-an-d-an-s
mayifik	m-a-y-i-f-i-k
delala	d-e-l-a-l-a
Jamayik	J-a-m-a-y-i-k
gras	g-r-a-s
laye	l-a-y-e
legal	l-e-g-a-l
vajinal	v-a-j-i-n-a-l
peripesi	p-e-r-i-p-e-s-i
desèvi	d-e-s-è-v-i
siprèm	s-i-p-r-è-m
eka	e-k-a
patyanga	p-a-t-y-an-g-a
pant	p-an-t
sedewòm	s-e-d-e-w-ò-m
pantè	p-an-t-è
ogmante	o-g-m-an-t-e
monseyè	m-on-s-e-y-è
tere	t-e-r-e
atletis	a-t-l-e-t-i-s
fleksibilite	f-l-e-k-s-i-b-i-l-i-t-e
lwi	l-w-i
Nisann	N-i-s-an-n
Pòtapiman	P-ò-t-a-p-i-m-an
ensès	en-s-è-s
pèfòmans	p-è-f-ò-m-an-s
eskarabe	e-s-k-a-r-a-b-e
swasandizyèm	s-w-a-s-an-d-i-z-y-è-m
Nazareyen	N-a-z-a-r-e-y-en
deboche	d-e-b-o-ch-e
Melkisedèk	M-e-l-k-i-s-e-d-è-k
konsèvasyon	k-on-s-è-v-a-s-y-on
domajman	d-o-m-a-j-m-an
Osval	O-s-v-a-l
sosyolojik	s-o-s-y-o-l-o-j-i-k
kretin	k-r-e-t-i-n
entèrese	en-t-è-r-e-s-e
reflektè	r-e-f-l-e-k-t-è
krik	k-r-i-k
ekspeditiv	e-k-s-p-e-d-i-t-i-v
ajan	a-j-an
injistis	i-n-j-i-s-t-i-s
Chanpay	Ch-an-p-a-y
chal	ch-a-l
Bwalorans	B-w-a-l-o-r-an-s
kriminalize	k-r-i-m-i-n-a-l-i-z-e
anplifikatè	an-p-l-i-f-i-k-a-t-è
sekou	s-e-k-ou
balans	b-a-l-an-s
entrig	en-t-r-i-g
brital	b-r-i-t-a-l
tòti	t-ò-t-i
pafimen	p-a-f-i-m-en
egzistansyalis	e-g-z-i-s-t-an-s-y-a-l-i-s
Laskawobas	L-a-s-k-a-w-o-b-a-s
pwopòsyonèl	p-w-o-p-ò-s-y-o-n-è-l
Klodya	K-l-o-d-y-a
evakyasyon	e-v-a-k-y-a-s-y-on
solè	s-o-l-è
katèl	k-a-t-è-l
kabinèt	k-a-b-i-n-è-t
akonpanye	a-k-on-p-a-n-y-e
polinizatè	p-o-l-i-n-i-z-a-t-è
Bodlè	B-o-d-l-è
enpèfeksyon	en-p-è-f-e-k-s-y-on
Jòjyen	J-ò-j-y-en
angilè	an-g-i-l-è
monchè	m-on-ch-è
mandyan	m-an-d-y-an
òfelen	ò-f-e-l-en
enplike	en-p-l-i-k-e
tantativ	t-an-t-a-t-i-v
Tibiwon	T-i-b-i-w-on
inikman	i-n-i-k-m-an
sòm	s-ò-m
sikonbe	s-i-k-on-b-e
sèdike	s-è-d-i-k-e
Lasous	L-a-s-ou-s
repete	r-e-p-e-t-e
kontansye	k-on-t-an-s-y-e
radiyès	r-a-d-i-y-è-s
Madsèn	M-a-d-s-è-n
pèfeksyon	p-è-f-e-k-s-y-on
movèz	m-o-v-è-z
lòtrejou	l-ò-t-r-e-j-ou
Kanj	K-an-j
maksimòm	m-a-k-s-i-m-ò-m
dans	d-an-s
pwofite	p-w-o-f-i-t-e
aksèsibilite	a-k-s-è-s-i-b-i-l-i-t-e
avèk	a-v-è-k
pwotokòl	p-w-o-t-o-k-ò-l
louvri	l-ou-v-r-i
pòch	p-ò-ch
elatriye	e-l-a-t-r-i-y-e
ribrik	r-i-b-r-i-k
ya	y-a
pwodi	p-w-o-d-i
atade	a-t-a-d-e
zam	z-a-m
pwofil	p-w-o-f-i-l
zwit	z-w-i-t
Likson	L-i-k-s-on
èlmi	è-l-m-i
tandòt	t-an-d-ò-t
Boudon	B-ou-d-on
konkistadò	k-on-k-i-s-t-a-d-ò
pwogramasyon	p-w-o-g-r-a-m-a-s-y-on
lizyè	l-i-z-y-è
joli	j-o-l-i
kannkès	k-an-n-k-è-s
afebli	a-f-e-b-l-i
Karan	K-a-r-an
franch	f-r-an-ch
dezè	d-e-z-è
lapès	l-a-p-è-s
inogirasyon	i-n-o-g-i-r-a-s-y-on
Lalomas	L-a-l-o-m-a-s
alterasyon	a-l-t-e-r-a-s-y-on
ekskize	e-k-s-k-i-z-e
ponch	p-on-ch
enperyal	en-p-e-r-y-a-l
nevè	n-e-v-è
estaf	e-s-t-a-f
ponpon	p-on-p-on
enfantin	en-f-an-t-i-n
pliche	p-l-i-ch-e
anksyete	an-k-s-y-e-t-e
vyèlèt	v-y-è-l-è-t
nwaye	n-w-a-y-e
lafrèchè	l-a-f-r-è-ch-è
riyèl	r-i-y-è-l
pwostat	p-w-o-s-t-a-t
Oma	O-m-a
rimay	r-i-m-a-y
Zimbabwe	Z-i-m-b-a-b-w-e
menas	m-e-n-a-s
enjenyè	en-j-e-n-y-è
efreyan	e-f-r-e-y-an
afilyasyon	a-f-i-l-y-a-s-y-on
pasyonèl	p-a-s-y-o-n-è-l
Mantout	M-an-t-ou-t
kalandriye	k-a-l-an-d-r-i-y-e
makoubi	m-a-k-ou-b-i
repòtè	r-e-p-ò-t-è
akseswa	a-k-s-e-s-w-a
dyagnostike	d-y-a-g-n-o-s-t-i-k-e
fiksasyon	f-i-k-s-a-s-y-on
ge	g-e
twaka	t-w-a-k-a
anndan	an-n-d-an
matant	m-a-t-an-t
patwona	p-a-t-w-o-n-a
efòse	e-f-ò-s-e
Filadèlfi	F-i-l-a-d-è-l-f-i
chwazi	ch-w-a-z-i
envitasyon	en-v-i-t-a-s-y-on
lamò	l-a-m-ò
gangans	g-an-g-an-s
ranmase	r-an-m-a-s-e
ekipe	e-k-i-p-e
òdinèman	ò-d-i-n-è-m-an
kayen	k-a-y-en
depozitè	d-e-p-o-z-i-t-è
vyolans	v-y-o-l-an-s
legim	l-e-g-i-m
abidid	a-b-i-d-i-d
kenz	k-en-z
prestij	p-r-e-s-t-i-j
bongre	b-on-g-r-e
demonyak	d-e-m-o-n-y-a-k
nègkoulè	n-è-g-k-ou-l-è
primè	p-r-i-m-è
remak	r-e-m-a-k
Lestoni	L-e-s-t-o-n-i
nouvo	n-ou-v-o
kwonik	k-w-o-n-i-k
Akila	A-k-i-l-a
kolan	k-o-l-an
ondirè	on-d-i-r-è
twomatis	t-w-o-m-a-t-i-s
zona	z-o-n-a
maton	m-a-t-on
koreksyon	k-o-r-e-k-s-y-on
Tiboukan	T-i-b-ou-k-an
wayòm	w-a-y-ò-m
vann	v-an-n
fiyèl	f-i-y-è-l
Ketli	K-e-t-l-i
Briksèl	B-r-i-k-s-è-l
nyaje	n-y-a-j-e
bèso	b-è-s-o
atrape	a-t-r-a-p-e
negosye	n-e-g-o-s-y-e
betize	b-e-t-i-z-e
devalize	d-e-v-a-l-i-z-e
prensipalman	p-r-en-s-i-p-a-l-m-an
kont	k-on-t
idewolojik	i-d-e-w-o-l-o-j-i-k
finisyon	f-i-n-i-s-y-on
orijinalman	o-r-i-j-i-n-a-l-m-an
respekte	r-e-s-p-e-k-t-e
Enri	En-r-i
balondò	b-a-l-on-d-ò
entegrite	en-t-e-g-r-i-t-e
petwòl	p-e-t-w-ò-l
enstriksyon	en-s-t-r-i-k-s-y-on
ladoba	l-a-d-o-b-a
pèseverans	p-è-s-e-v-e-r-an-s
brennen	b-r-en-n-en
nyè	n-y-è
gonore	g-o-n-o-r-e
lis	l-i-s
chaplèt	ch-a-p-l-è-t
karyè	k-a-r-y-è
Anakaona	A-n-a-k-a-o-n-a
sibstans	s-i-b-s-t-an-s
antrènman	an-t-r-è-n-m-an
pwosè	p-w-o-s-è
bwode	b-w-o-d-e
komèsyalize	k-o-m-è-s-y-a-l-i-z-e
raje	r-a-j-e
laplas	l-a-p-l-a-s
Chadonye	Ch-a-d-o-n-y-e
miyon	m-i-y-on
onzan	on-z-an
pedal	p-e-d-a-l
atribisyon	a-t-r-i-b-i-s-y-on
mizajou	m-i-z-a-j-ou
diskresyon	d-i-s-k-r-e-s-y-on
senkwonizasyon	s-en-k-w-o-n-i-z-a-s-y-on
Peyonvil	P-e-y-on-v-i-l
twamil	t-w-a-m-i-l
vandè	v-an-d-è
enpèmeyab	en-p-è-m-e-y-a-b
esè	e-s-è
pewòl	p-e-w-ò-l
Nebikadneza	N-e-b-i-k-a-d-n-e-z-a
ounsi	oun-s-i
entèdi	en-t-è-d-i
wote	w-o-t-e
rakousi	r-a-k-ou-s-i
jeneralizasyon	j-e-n-e-r-a-l-i-z-a-s-y-on
gazèt	g-a-z-è-t
brasri	b-r-a-s-r-i
seye	s-e-y-e
ayewobik	a-y-e-w-o-b-i-k
ekonomize	e-k-o-n-o-m-i-z-e
souson	s-ou-s-on
senplemen	s-en-p-l-e-m-en
onjan	on-j-an
florezon	f-l-o-r-e-z-on
estereyo	e-s-t-e-r-e-y-o
atraksyon	a-t-r-a-k-s-y-on
